Trek Name,Region,Difficulty,Duration,Distance,Altitude,Best Time,Description
Athri Hill Trek,Uttarakhand,trek,10-11 hr,10.1 km,"6,560 ft",to do the Athri Hill Trek,"<!DOCTYPE html><html><head><meta charSet=""utf-8""/><meta name=""viewport"" content=""width=device-width""/><title>Athri Hill Trek</title><meta name=""description"" content=""The Athri Hill Trek is a short trek near Alwarkurichi village. It&#x27;s a trek that rewards you with beautiful views of the Western Ghats.""/><meta property=""og:title"" content=""Athri Hill Trek""/><meta property=""og:description"" content=""The Athri Hill Trek is a short trek near Alwarkurichi village. It&#x27;s a trek that rewards you w"
Audens Col,Uttarakhand,Easy,10-11 hr,270 km,"10,240 ft",Wise Guides,"<!DOCTYPE html><html><head><meta charSet=""utf-8""/><meta name=""viewport"" content=""width=device-width""/><title>Auden&amp;#039;s Col</title><meta name=""description"" content=""Maps, pictures, downloadable GPX trail and information about three different routes- the only guide you&#x27;ll ever need to plan a trek to Auden&#x27;s Col!""/><meta property=""og:title"" content=""Auden&amp;#039;s Col""/><meta property=""og:description"" content=""Maps, pictures, downloadable GPX trail and information about three dif"
Ayodhya Hills Trek,Uttarakhand,here,10-11 hr,13 km,"6,560 ft",Wise Guides,"<!DOCTYPE html><html><head><meta charSet=""utf-8""/><meta name=""viewport"" content=""width=device-width""/><title>Ayodhya Hills Trek</title><meta name=""description"" content=""""/><meta property=""og:title"" content=""Ayodhya Hills Trek""/><meta property=""og:description"" content=""""/><meta property=""og:image"" itemprop=""image"" content=""https://images.prismic.io/indiahike/1dc5a108-5b6a-48d2-a497-be80cc4cb986_Ayodhya+Hills+Trek+-+Banner+Image+-+Indiahikes+-+Indiahikes+Archive.jpg?auto=compress,format""/><meta pr"
Bagini Glacier Trek,Uttarakhand,Easy,10-11 hr,190 km,"6,560 ft",demands so you can keep yourself protected during the trek,"<!DOCTYPE html><html><head><meta charSet=""utf-8""/><meta name=""viewport"" content=""width=device-width""/><title>Bagini Glacier Trek</title><meta name=""description"" content=""""/><meta property=""og:title"" content=""Bagini Glacier Trek""/><meta property=""og:description"" content=""""/><meta property=""og:image"" itemprop=""image"" content=""https://images.prismic.io/indiahike/346ba49b-6ece-4f0b-9be1-4411167f32a9_Bagini-Glacier-Trek-Banner+Image+-+Indiahikes+-+Indiahikes+Archive.jpg?auto=compress,format""/><meta p"
Bagji Bugyal Trek,Uttarakhand,and,10-11 hr,190 km,7900 ft,Wise Guides,"<!DOCTYPE html><html><head><meta charSet=""utf-8""/><meta name=""viewport"" content=""width=device-width""/><title>Bagji Bugyal Trek</title><meta name=""description"" content=""""/><meta property=""og:title"" content=""Bagji Bugyal Trek""/><meta property=""og:description"" content=""""/><meta property=""og:image"" itemprop=""image"" content=""https://images.prismic.io/indiahike/a0303588-7812-4b9b-8e3c-311b01fc4e55_Bagji+Bugyal+Trek+-+Banner+image+-+Indiahikes+-+Indiahikes+Archive.jpg?auto=compress,format""/><meta prope"
Bajiling Top Trek,Uttarakhand,Easy,10-11 hr,190 km,"6,560 ft",Wise Guides,"<!DOCTYPE html><html><head><meta charSet=""utf-8""/><meta name=""viewport"" content=""width=device-width""/><title>Bajiling Top</title><meta name=""description"" content=""""/><meta property=""og:title"" content=""Bajiling Top""/><meta property=""og:description"" content=""""/><meta property=""og:image"" itemprop=""image"" content=""https://images.prismic.io/indiahike/d03d4c11-1fee-4a57-8d3b-ad62bce6d718_Bajiling+Top+Trek+-+Banner+image+-+Indiahikes+-+Indiahikes+archives.jpg?auto=compress,format""/><meta property=""og:i"
Balekallu And Kodekallu Peak Trek,Uttarakhand,here,10-11 hr,190 km,"6,560 ft",and difficulty,"<!DOCTYPE html><html><head><meta charSet=""utf-8""/><meta name=""viewport"" content=""width=device-width""/><title>Balekallu &amp; Kodekallu Peak Trek</title><meta name=""description"" content=""""/><meta property=""og:title"" content=""Balekallu &amp; Kodekallu Peak Trek""/><meta property=""og:description"" content=""""/><meta property=""og:image"" itemprop=""image"" content=""https://images.prismic.io/indiahike/3c53e3de-b005-489a-83a8-7e377b235936_Balekallu+%26+Kodekallu+Peak+Trek+-+Banner+Image+-+Indiahikes+-+India"
Ballalarayana Durga Bandaje Falls Trek,Uttarakhand,Easy,10-11 hr,3 km,"6,560 ft",To Do Ballalarayana Durga Trek,"<!DOCTYPE html><html><head><meta charSet=""utf-8""/><meta name=""viewport"" content=""width=device-width""/><title>Ballalarayana Durga - Bandaje Falls Trek</title><meta name=""description"" content=""Maps, pictures, downloadable GPX file and trail information. This is the only guide you&#x27;ll need to plan a trek to Ballalarayana Durga and Bandaje Falls!""/><meta property=""og:title"" content=""Ballalarayana Durga - Bandaje Falls Trek""/><meta property=""og:description"" content=""Maps, pictures, downloadable G"
Balwantgad Trek,Uttarakhand,Easy,10-11 hr,190 km,"6,560 ft",Wise Guides,"<!DOCTYPE html><html><head><meta charSet=""utf-8""/><meta name=""viewport"" content=""width=device-width""/><title>Balwantgad Trek</title><meta name=""description"" content=""""/><meta property=""og:title"" content=""Balwantgad Trek""/><meta property=""og:description"" content=""""/><meta property=""og:image"" itemprop=""image"" content=""https://images.prismic.io/indiahike/638f8baa-015d-4731-8a7a-2231c1542823_Balwantgad+Trek+-+Banner+image+-+indiahikes+-+indiahikes+archives.jpg?auto=compress,format""/><meta property="""
Bananthi Mari Betta,Uttarakhand,Easy,10-11 hr,1 km,"6,560 ft",to do Bananthi Mari Betta trek,"<!DOCTYPE html><html><head><meta charSet=""utf-8""/><meta name=""viewport"" content=""width=device-width""/><title>Bananthi Mari Betta</title><meta name=""description"" content=""Pictures and trail information . This is the only guide you will ever need to go to Banathi Mari betta""/><meta property=""og:title"" content=""Bananthi Mari Betta""/><meta property=""og:description"" content=""Pictures and trail information . This is the only guide you will ever need to go to Banathi Mari betta""/><meta property=""og:ima"
Banasura Trek,Uttarakhand,here,10-11 hr,18 km,"6,560 ft",and difficulty,"<!DOCTYPE html><html><head><meta charSet=""utf-8""/><meta name=""viewport"" content=""width=device-width""/><title>Banasura Hill Trek</title><meta name=""description"" content=""""/><meta property=""og:title"" content=""Banasura Hill Trek""/><meta property=""og:description"" content=""""/><meta property=""og:image"" itemprop=""image"" content=""https://images.prismic.io/indiahike/4f236ff6-409f-427c-bfe4-263c928ab3f8_Banasura+Hill+Trek+-+Banner+image+-+Indiahikes+-+indiahikes+archives+.jpg?auto=compress,format""/><meta "
Bansi Narayan Trek,Uttarakhand,Easy,10-11 hr,190 km,"6,696 ft",Wise Guides,"<!DOCTYPE html><html><head><meta charSet=""utf-8""/><meta name=""viewport"" content=""width=device-width""/><title>Bansi Narayan Trek</title><meta name=""description"" content=""""/><meta property=""og:title"" content=""Bansi Narayan Trek""/><meta property=""og:description"" content=""""/><meta property=""og:image"" itemprop=""image"" content=""https://images.prismic.io/indiahike/54358620-f934-4257-8c59-0546d3309e8d_bansi+narayan+trek-banner+image-indiahikes-archives.jpg?auto=compress,format""/><meta property=""og:image"
Bashal Peak Trek,Uttarakhand,track,10-11 hr,190 km,"6,560 ft",Wise Guides,"<!DOCTYPE html><html><head><meta charSet=""utf-8""/><meta name=""viewport"" content=""width=device-width""/><title>Bashal Peak Trek</title><meta name=""description"" content=""""/><meta property=""og:title"" content=""Bashal Peak Trek""/><meta property=""og:description"" content=""""/><meta property=""og:image"" itemprop=""image"" content=""https://images.prismic.io/indiahike/312534c6-c5a0-4524-8398-1bd232eadb4c_bashal+peak+trek-banner+image-indiahikes-archives.jpg?auto=compress,format""/><meta property=""og:image:width"
Bekal Beach Treak,Uttarakhand,here,1 day,3 km,"6,560 ft",to do this trek is in the months of November until March when the humidity is the least,"<!DOCTYPE html><html><head><meta charSet=""utf-8""/><meta name=""viewport"" content=""width=device-width""/><title>Bekal Beach Trek</title><meta name=""description"" content=""""/><meta property=""og:title"" content=""Bekal Beach Trek""/><meta property=""og:description"" content=""""/><meta property=""og:image"" itemprop=""image"" content=""https://images.prismic.io/indiahike/661f318b-4268-42e8-b3e1-ca282d5758db_bekal-beach-banner+image-indiahikes-archives.jpg?auto=compress,format""/><meta property=""og:image:width"" con"
Bhadraj Hill Trek,Uttarakhand,and,10-11 hr,190 km,"6,560 ft",Wise Guides,"<!DOCTYPE html><html><head><meta charSet=""utf-8""/><meta name=""viewport"" content=""width=device-width""/><title>Bhadraj Hill Trek</title><meta name=""description"" content=""""/><meta property=""og:title"" content=""Bhadraj Hill Trek""/><meta property=""og:description"" content=""""/><meta property=""og:image"" itemprop=""image"" content=""https://images.prismic.io/indiahike/f3995e20-ce7e-4c56-9be7-bd4cc4b67a38_bhadraj+hill-banner+image-indiahikes-archives.jpg?auto=compress,format""/><meta property=""og:image:width"" "
Bhal Padri Trek,Uttarakhand,as,10-11 hr,190 km,"6,560 ft",to witness the lush green meadows is between July and September,"<!DOCTYPE html><html><head><meta charSet=""utf-8""/><meta name=""viewport"" content=""width=device-width""/><title>Bhal Padri Trek</title><meta name=""description"" content=""Find out all the details about Bhal Padri Trek.""/><meta property=""og:title"" content=""Bhal Padri Trek""/><meta property=""og:description"" content=""Find out all the details about Bhal Padri Trek.""/><meta property=""og:image"" itemprop=""image"" content=""https://images.prismic.io/indiahike/df672456-d0f5-4265-8ac8-7815612ef39b_Bhal-Padri-Bann"
Bharadsar Lake Trek,Uttarakhand,Easy,10-11 hr,8 km,4820 ft,Wise Guides,"<!DOCTYPE html><html><head><meta charSet=""utf-8""/><meta name=""viewport"" content=""width=device-width""/><title>Bharadsar Lake Trek</title><meta name=""description"" content=""""/><meta property=""og:title"" content=""Bharadsar Lake Trek""/><meta property=""og:description"" content=""""/><meta property=""og:image"" itemprop=""image"" content=""https://images.prismic.io/indiahike/5ef81e53-b7c9-45fd-b12d-8d9fac9b95ab_%281%29+Bharadsar+Lake+Trek-+Banner+Image-+Sandhya+UC-+Indiahikes.jpg?auto=compress,format""/><meta pr"
Bheemana Kindi Trek,Uttarakhand,Easy,1 hr,1.5 km,"6,560 ft",to do the trek,"<!DOCTYPE html><html><head><meta charSet=""utf-8""/><meta name=""viewport"" content=""width=device-width""/><title>Bheemana Kindi Trek -  A Lesser Known Trail Hidden Beside The More Popular Kabbala Durga</title><meta name=""description"" content=""Find out all the details including gpx file for the lesser-known Bheemana Kindi Trek to do it on your own.""/><meta property=""og:title"" content=""Bheemana Kindi Trek -  A Lesser Known Trail Hidden Beside The More Popular Kabbala Durga""/><meta property=""og:descrip"
Bhimashankar Trek,Uttarakhand,trek,10-11 hr,190 km,"3,050 ft",to do this trek,"<!DOCTYPE html><html><head><meta charSet=""utf-8""/><meta name=""viewport"" content=""width=device-width""/><title>Bhimashankar Trek</title><meta name=""description"" content=""All the information you need to do Bhimashankar trek.""/><meta property=""og:title"" content=""Bhimashankar Trek""/><meta property=""og:description"" content=""All the information you need to do Bhimashankar trek.""/><meta property=""og:image"" itemprop=""image"" content=""https://images.prismic.io/indiahike/b83a8abe-d58f-4b11-853d-5b21b8fe08bd"
Bhoot Bangla Trek,Uttarakhand,Easy,10-11 hr,190 km,"6,560 ft",Wise Guides,"<!DOCTYPE html><html><head><meta charSet=""utf-8""/><meta name=""viewport"" content=""width=device-width""/><title>Bhoot Bangla Trek</title><meta name=""description"" content=""""/><meta property=""og:title"" content=""Bhoot Bangla Trek""/><meta property=""og:description"" content=""""/><meta property=""og:image"" itemprop=""image"" content=""https://images.prismic.io/indiahike/bda08297-e0ac-47f5-b361-9248c19ddca9_%284%29+Bhoot+Bangla+Trek-+Ruins+of+Bhoot+Bangla.jpg?auto=compress,format""/><meta property=""og:image:widt"
Bhubhu Pass Trek,Uttarakhand,Easy,10-11 hr,190 km,"2,900 m",Wise Guides,"<!DOCTYPE html><html><head><meta charSet=""utf-8""/><meta name=""viewport"" content=""width=device-width""/><title>Bhubhu Pass Trek</title><meta name=""description"" content=""""/><meta property=""og:title"" content=""Bhubhu Pass Trek""/><meta property=""og:description"" content=""""/><meta property=""og:image"" itemprop=""image"" content=""https://images.prismic.io/indiahike/0e8b9b66-3724-4cf6-9fe6-1928741ec13b_%281%29+Bhubhu+Pass+Trek-+Banner+Image-+Indiahikes+Archive.jpg?auto=compress,format""/><meta property=""og:im"
Biharinath Hill Trek,Uttarakhand,difficulty,10-11 hr,190 km,"6,560 ft",to do the trek,"<!DOCTYPE html><html><head><meta charSet=""utf-8""/><meta name=""viewport"" content=""width=device-width""/><title>Biharinath Hill Trek - A Short Trek in the Eastern Ghats of West Bengal</title><meta name=""description"" content=""Biharinath Hill Trek is a refreshing forest trek in West Bengal. A detailed guide to trek on your own with route information, photos, GPX file and tips.""/><meta property=""og:title"" content=""Biharinath Hill Trek - A Short Trek in the Eastern Ghats of West Bengal""/><meta property"
Bijli Mahadev To Naggar Trek,Uttarakhand,walk,10-11 hr,12 km,"7,677 ft",Wise Guides,"<!DOCTYPE html><html><head><meta charSet=""utf-8""/><meta name=""viewport"" content=""width=device-width""/><title>Bijli Mahadev To Naggar Trek</title><meta name=""description"" content=""""/><meta property=""og:title"" content=""Bijli Mahadev To Naggar Trek""/><meta property=""og:description"" content=""""/><meta property=""og:image"" itemprop=""image"" content=""https://images.prismic.io/indiahike/d917e6e8-f5ff-4c6f-947e-9003ae19d8b2_%281%29Bijli+Mahadev+Trek-+Banner+Image-+Indiahikes+Archive.jpg?auto=compress,forma"
Bisudi Tal Trek,Uttarakhand,land,10-11 hr,190 km,"6,560 ft",to do Bisudi Tal Trek,"<!DOCTYPE html><html><head><meta charSet=""utf-8""/><meta name=""viewport"" content=""width=device-width""/><title>Bisudi Tal Trek - A Trek That is Big on Summit Views and Adventure</title><meta name=""description"" content=""The detailed guide to Bisudi Tal trek - Trail information, highlights, difficult sections, gpx file, what to pack, how to prepare, how to reach the base, find out all the details that you need to do it on your own.""/><meta property=""og:title"" content=""Bisudi Tal Trek - A Trek That i"
Borasu Pass Trek,Uttarakhand,mud,10-11 hr,190 km,7053 feet,Wise Guides,"<!DOCTYPE html><html><head><meta charSet=""utf-8""/><meta name=""viewport"" content=""width=device-width""/><title>Borasu Pass Trek</title><meta name=""description"" content=""""/><meta property=""og:title"" content=""Borasu Pass Trek""/><meta property=""og:description"" content=""""/><meta property=""og:image"" itemprop=""image"" content=""https://images.prismic.io/indiahike/cc40e0e9-5701-4c09-85fe-b91b34c6311e_%281%29+Borasu+Pass+Trek-+Banner+Image-+Indiahikes+Archive.jpg?auto=compress,format""/><meta property=""og:im"
Brahma Valley Trek,Uttarakhand,Easy,10-11 hr,190 km,1294m,Wise Guides,"<!DOCTYPE html><html><head><meta charSet=""utf-8""/><meta name=""viewport"" content=""width=device-width""/><title>Brahmagiri Range Trek</title><meta name=""description"" content=""""/><meta property=""og:title"" content=""Brahmagiri Range Trek""/><meta property=""og:description"" content=""""/><meta property=""og:image"" itemprop=""image"" content=""https://images.prismic.io/indiahike/290dd1c9-5938-4844-822e-5a27ce2b7f70_%281%29+Brahma+Valley-+Banner+Image-+Mayuresh+Joshi-+Indiahikes.jpg?auto=compress,format""/><meta "
Brahmagiri Hills Trek,Uttarakhand,Easy,10-11 hr,190 km,"6,560 ft",and already,"<!DOCTYPE html><html><head><meta charSet=""utf-8""/><meta name=""viewport"" content=""width=device-width""/><title>Brahmagiri Hills Trek</title><meta name=""description"" content=""""/><meta property=""og:title"" content=""Brahmagiri Hills Trek""/><meta property=""og:description"" content=""""/><meta property=""og:image"" itemprop=""image"" content=""https://images.prismic.io/indiahike/d7051b81-490f-4484-a05c-bdc85789ed95_%281%29+Brahmagiri+Trek-+Banner+Image-+Indiahikes+Archive.jpg?auto=compress,format""/><meta proper"
Budha Kedar,Uttarakhand,trek,10-11 hr,190 km,"6,560 ft",to do,"<!DOCTYPE html><html><head><meta charSet=""utf-8""/><meta name=""viewport"" content=""width=device-width""/><title>Budha Kedar - Trek to the Biggest Shivling of North India</title><meta name=""description"" content=""The detailed guide to Budha Kedar -  gpx file, highlights, trail information, best season to do, how to reach the base, stay oprions, emergency contacts, find out all the details you need to do the trek on your own""/><meta property=""og:title"" content=""Budha Kedar - Trek to the Biggest Shivli"
Chadar Trek,Uttarakhand,field,10-11 hr,190 km,"6,560 ft",Wise Guides,"<!DOCTYPE html><html><head><meta charSet=""utf-8""/><meta name=""viewport"" content=""width=device-width""/><title>Chadar Trek</title><meta name=""description"" content=""""/><meta property=""og:title"" content=""Chadar Trek""/><meta property=""og:description"" content=""""/><meta property=""og:image"" itemprop=""image""/><meta property=""og:image:width"" content=""300""/><meta property=""og:image:height"" content=""300""/><meta property=""og:image:secure_url""/><link rel=""canonical"" href=""https://indiahikes.com/documented-tre"
Chambal Valley Trek,Uttarakhand,trek,10-11 hr,53 km,"6,560 ft",to do the Trek,"<!DOCTYPE html><html><head><meta charSet=""utf-8""/><meta name=""viewport"" content=""width=device-width""/><title>Chambal Valley Trek</title><meta name=""description"" content=""Can you imagine trekking past waterfalls and dense forests in Rajasthan? The Chambal Valley Trek shows you a different side of the state.""/><meta property=""og:title"" content=""Chambal Valley Trek""/><meta property=""og:description"" content=""Can you imagine trekking past waterfalls and dense forests in Rajasthan? The Chambal Valley "
Chandan Vandan Trek,Uttarakhand,Easy,10-11 hr,190 km,"6,560 ft",Wise Guides,"<!DOCTYPE html><html><head><meta charSet=""utf-8""/><meta name=""viewport"" content=""width=device-width""/><title>Chandan Vandan Trek</title><meta name=""description"" content=""""/><meta property=""og:title"" content=""Chandan Vandan Trek""/><meta property=""og:description"" content=""""/><meta property=""og:image"" itemprop=""image"" content=""https://images.prismic.io/indiahike/1edfaa54-b93d-4de8-bd0f-38e40fd64f5e_%281%29+Chandan+Vandan+Trek-+Banner+Image-+Vinita+Chhatwani-+Indiahikes.jpg?auto=compress,format""/><m"
Chandratal Baralachala Trek,Uttarakhand,Easy,10-11 hr,190 km,4270 m,Wise Guides,"<!DOCTYPE html><html><head><meta charSet=""utf-8""/><meta name=""viewport"" content=""width=device-width""/><title>Chandratal Baralachala Trek</title><meta name=""description"" content=""""/><meta property=""og:title"" content=""Chandratal Baralachala Trek""/><meta property=""og:description"" content=""""/><meta property=""og:image"" itemprop=""image"" content=""https://images.prismic.io/indiahike/7556a93b-b681-4992-9287-f7e0b15c0c69_%281%29+Chandratal+Baralachala+Trek-+Banner+Image-+Indiahikes+Archive.jpg?auto=compre"
Channagirichannakeshava Trek,Uttarakhand,Easy,10-11 hr,190 km,"2,950 ft",except peak monsoon,"<!DOCTYPE html><html><head><meta charSet=""utf-8""/><meta name=""viewport"" content=""width=device-width""/><title>Channagiri / Channakeshava Trek</title><meta name=""description"" content=""""/><meta property=""og:title"" content=""Channagiri / Channakeshava Trek""/><meta property=""og:description"" content=""""/><meta property=""og:image"" itemprop=""image"" content=""https://images.prismic.io/indiahike/f6539926-08a3-4231-bfbc-da664c7d450e_Channagiri-BannerImage.jpg?auto=compress,format""/><meta property=""og:image:wi"
Channarayana Durga,Uttarakhand,of,10-11 hr,1 km,"6,560 ft",to do the Channarayana Durga trek,"<!DOCTYPE html><html><head><meta charSet=""utf-8""/><meta name=""viewport"" content=""width=device-width""/><title>Channarayana Durga Trek</title><meta name=""description"" content=""""/><meta property=""og:title"" content=""Channarayana Durga Trek""/><meta property=""og:description"" content=""""/><meta property=""og:image"" itemprop=""image"" content=""https://images.prismic.io/indiahike/d9c7f18e-5dea-476e-bce3-d397368bf1f6_Channarayana+Durga_Indiahikes_Shivani+Kulkarni_June.jpg?auto=compress,format&amp;rect=0,118,1"
Charang Ghati Trek,Uttarakhand,walk,10-11 hr,190 km,"6,560 ft",Wise Guides,"<!DOCTYPE html><html><head><meta charSet=""utf-8""/><meta name=""viewport"" content=""width=device-width""/><title>Charang Ghati Trek</title><meta name=""description"" content=""""/><meta property=""og:title"" content=""Charang Ghati Trek""/><meta property=""og:description"" content=""""/><meta property=""og:image"" itemprop=""image"" content=""https://images.prismic.io/indiahike/d4d396ad-269a-466a-a022-84306e62b571_%281%29+Charang+Ghati+Trek-+Banner+Image-+Indiahikes+Archive.jpg?auto=compress,format""/><meta property="
Chatakpur Tiger Hill Trek,Uttarakhand,Easy,10-11 hr,7 km,"1,997 m",Wise Guides,"<!DOCTYPE html><html><head><meta charSet=""utf-8""/><meta name=""viewport"" content=""width=device-width""/><title>Chatakpur-Tiger Hill Trek</title><meta name=""description"" content=""""/><meta property=""og:title"" content=""Chatakpur-Tiger Hill Trek""/><meta property=""og:description"" content=""""/><meta property=""og:image"" itemprop=""image"" content=""https://images.prismic.io/indiahike/05c4983c-8d8e-4eea-a8be-980c728a94b7_%281%29+Chatakpur+Hill+Trek-+Banner+Image-+Indiahikes+Archive.jpg?auto=compress,format""/>"
Chembra Peak Trek,Uttarakhand,until,10-11 hr,2.2 km,"6,560 ft",to do the Chembra Peak Trek,"<!DOCTYPE html><html><head><meta charSet=""utf-8""/><meta name=""viewport"" content=""width=device-width""/><title>Chembra Peak Trek - Trek to the Heart-Shaped Lake in Kerala</title><meta name=""description"" content=""Chembra Peak is the highest peak in Wayanad. A complete guide to trek on your own with informative photos, gpx file and tips.""/><meta property=""og:title"" content=""Chembra Peak Trek - Trek to the Heart-Shaped Lake in Kerala""/><meta property=""og:description"" content=""Chembra Peak is the high"
Chenap Bugyal Trek,Uttarakhand,Easy,10-11 hr,12km,"6,200 ft",Wise Guides,"<!DOCTYPE html><html><head><meta charSet=""utf-8""/><meta name=""viewport"" content=""width=device-width""/><title>Chenap Bugyal Trek</title><meta name=""description"" content=""""/><meta property=""og:title"" content=""Chenap Bugyal Trek""/><meta property=""og:description"" content=""""/><meta property=""og:image"" itemprop=""image"" content=""https://images.prismic.io/indiahike/195a0081-2754-4896-a73b-b9ac5166c455_%2811%29+Chenap+Bugyal-+The+only+problem+is+to+find+out+the+right+place+to+camp+because+every+inch+of+t"
